land_parcel_std,separated_names,tenderer_rank,num_tenderers_same_rank,tender_price,price_psm_gfa,tenderer_id,tenderer_name,unified_name
West Coast Crescent,TIAN HOCK PROPERTIES Pte. Ltd.,2,1,108913000.0,3241.46,tenderer_1,TIAN HOCK PROPERTIES Pte. Ltd.,0
Playfair Road,TRIO LINK DEVELOPMENT Pte. Ltd.,1,1,33000000.0,1529.92,tenderer_1,TRIO LINK DEVELOPMENT Pte. Ltd.,0
Playfair Road,ORION-THREE DEVELOPMENT Pte. Ltd.,2,1,20228889.0,937.84,tenderer_1,ORION-THREE DEVELOPMENT Pte. Ltd.,0
Scotts Road/Anthony Road,UOB KAY HIAN TRADING Pte. Ltd.,1,1,34000000.0,2610.57,tenderer_1,UOB KAY HIAN TRADING Pte. Ltd.,0
Scotts Road/Anthony Road,SUN VENTURE (S) INVESTMENTS Pte. Ltd.,2,1,29188888.0,2241.16,tenderer_1,SUN VENTURE INVESTMENTS Pte. Ltd.,0
Jurong Town Hall Road,Tamerton Pte. Ltd.,1,1,238200000.0,12565.28,tenderer_1,Tamerton Pte. Ltd.,0
Lorong Puntong,SL Capital Ventures Pte. Ltd.,2,1,161889000.0,7339.91,tenderer_1,SL Capital Ventures Pte. Ltd.,0
Upper Serangoon Road,Asset Legend Ltd.,1,1,276774000.0,9136.87,tenderer_1,Asset Legend Ltd.,0
Upper Serangoon Road,SL Capital Ventures Pte. Ltd.,2,1,239999800.0,7922.88,tenderer_1,SL Capital Ventures Pte. Ltd.,0
Paya Lebar Road/Sims Avenue,Roma Central Pte. Ltd. | Milano Central Pte. Ltd. | Verona Central Pte. Ltd.,1,3,1671688888.0,10145.65,tenderer_1,Roma Central Pte. Ltd.,0
Paya Lebar Road/Sims Avenue,P-L One-to-Six Trustee-Manager Pte. Ltd.,2,1,1536888888.0,9327.54,tenderer_1,P-L One-to-Six Trustee-Manager Pte. Ltd.,0
Sturdee Road,SL Capital (1) Pte. Ltd.,1,1,181189000.0,8470.34,tenderer_1,SL Capital Pte. Ltd.,0
Clementi Avenue 1,Oxley-Lian Beng Venture Pte. Ltd.,2,1,276200888.0,6052.66,tenderer_1,Oxley-Lian Beng Venture Pte. Ltd.,0
Jalan Kandis,Dillenia Land Pte. Ltd.,1,1,51070228.0,5177.44,tenderer_1,Dillenia Land Pte. Ltd.,0
Martin Place,First Bedok Land Pte. Ltd.,1,1,595100000.0,13336.47,tenderer_1,First Bedok Land Pte. Ltd.,0
Central Boulevard,Mapletree Trustee Pte. Ltd.,2,1,2206811000.0,15618.58,tenderer_1,Mapletree Trustee Pte. Ltd.,0
Central Boulevard,Wealthy Link Pte. Ltd.,1,1,2568686688.0,18179.73,tenderer_1,Wealthy Link Pte. Ltd.,0
Alexandra View,Tang Skyline Pte. Ltd.,1,1,376880000.0,9158.02,tenderer_1,Tang Skyline Pte. Ltd.,0
Woodlands Avenue 12,NSS Realty Pte. Ltd.,2,1,66880000.0,681.94,tenderer_1,NSS Realty Pte. Ltd.,0
Woodlands Square,Mahogany Trust,2,1,620800000.0,9552.09,tenderer_1,Mahogany Trust,0
Punggol Point,KT & T Resources Pte. Ltd.,2,1,8595349.0,2865.12,tenderer_1,KT & T Resources Pte. Ltd.,0
Venture Avenue,Victory One Pte. Ltd.,2,1,643000000.0,9959.42,tenderer_1,Victory One Pte. Ltd.,0
Kim Tian Road,Harvestland Development Pte. Ltd.,1,1,550280000.0,12516.89,tenderer_1,Harvestland Development Pte. Ltd.,0
Faber Walk,Keng Hoe Development Pte. Ltd.,2,1,155000000.0,7319.61,tenderer_1,Keng Hoe Development Pte. Ltd.,0
Woodlands Industrial Park E9,Wealth Land Pte. Ltd.,2,1,48380808.0,1153.61,tenderer_1,Wealth Land Pte. Ltd.,0
Woodlands Industrial Park E9,Inc. Woodlands Pte. Ltd.,1,1,72690000.0,1733.24,tenderer_1,Inc. Woodlands Pte. Ltd.,0
Cecil Street/Telok Ayer Street,Euland Pte. Ltd.,2,1,777777700.0,10079.8,tenderer_1,Euland Pte. Ltd.,0
Gambas Crescent,Grow-Tech Properties Pte. Ltd.,1,1,44777000.0,1484.32,tenderer_1,Grow-Tech Properties Pte. Ltd.,0
Havelock Road,I Hotel Pte. Ltd.,1,1,30090000.0,14027.97,tenderer_1,I Hotel Pte. Ltd.,0
Havelock Road,Ooi Teck Hin,2,1,28090000.0,13095.57,tenderer_1,Ooi Teck Hin,0
Gambas Crescent,Grow-Tech Properties Pte. Ltd.,1,1,39333000.0,1100.08,tenderer_1,Grow-Tech Properties Pte. Ltd.,0
Gambas Crescent,First Shine Management Services Pte. Ltd.,2,1,32500000.0,908.97,tenderer_1,First Shine Management Services Pte. Ltd.,0
Geylang East Avenue 1,"Tannery Holdings Pte. Ltd. | Sekisui House, Ltd.",2,2,142777000.0,8174.1,tenderer_1,Tannery Holdings Pte. Ltd.,0
Thomson Road/Irrawaddy Road,Swift One Pte. Ltd. | Swift Two Pte. Ltd. | Taipan Trustee Pte. Ltd.,2,3,444929918.0,15865.99,tenderer_1,Swift One Pte. Ltd.,0
Clementi Avenue 1,Vesta SG Residences Pte. Ltd.,2,1,471007828.0,8134.85,tenderer_1,Vesta SG Residences Pte. Ltd.,0
Canberra Drive (Parcel B),United Venture Development (2020) Pte. Ltd.,1,1,270200000.0,7001.27,tenderer_1,United Venture Development Pte. Ltd.,0
Canberra Drive (Parcel A),Oasis Development Pte. Ltd.,1,1,129196000.0,6930.37,tenderer_1,Oasis Development Pte. Ltd.,0
Tanah Merah Kechil Link,Tucana Residential Pte. Ltd. | Tucana Commercial Pte. Ltd.,2,2,238000000.0,9572.07,tenderer_1,Tucana Residential Pte. Ltd.,0
Northumberland Road,Winrich Investment Pte. Ltd.,2,1,421888999.0,11502.19,tenderer_1,Winrich Investment Pte. Ltd.,0
Ang Mo Kio Avenue 1,Titus Residential SG Pte. Ltd.,2,1,358888000.0,11321.75,tenderer_1,Titus Residential SG Pte. Ltd.,0
Ang Mo Kio Avenue 1,United Venture Development (2021) Pte. Ltd.,1,1,381381000.0,12031.33,tenderer_1,United Venture Development Pte. Ltd.,0
Bernam Street,Vesta Sg Residences Pte. Ltd. | Vesta Sg Comm Pte. Ltd.,2,2,405081551.0,14466.68,tenderer_1,Vesta Sg Residences Pte. Ltd.,0
Slim Barracks Rise (Parcel A),Gao Xiuhua,2,1,316100000.0,13241.45,tenderer_1,Gao Xiuhua,0
one-north Gateway,Peak Vista Pte. Ltd.,2,1,153550000.0,10628.5,tenderer_1,Peak Vista Pte. Ltd.,0
Marina View,Boulevard View Pte. Ltd.,1,1,1508000101.0,14838.29,tenderer_1,Boulevard View Pte. Ltd.,0
Pine Grove (Parcel A),United Venture Development (No. 5) Pte. Ltd.,1,1,671500800.0,14189.73,tenderer_1,United Venture Development Pte. Ltd.,0
Pine Grove (Parcel A),Pine II Residential Pte. Ltd.,2,1,671500000.0,14189.72,tenderer_1,Pine II Residential Pte. Ltd.,0
Dunman Road,Sing-Haiyi Jade Pte. Ltd.,1,1,1283888998.0,14536.62,tenderer_1,Sing-Haiyi Jade Pte. Ltd.,0
Lentor Central,Forsea Residence Pte. Ltd. | Soilbuild Group Holdings Ltd. | UED Alpha Pte. Ltd.,1,3,481028300.0,11926.42,tenderer_1,Forsea Residence Pte. Ltd.,0
Lentor Central,Tanglin Land Pte. Ltd.,2,1,463999999.0,11504.23,tenderer_1,Tanglin Land Pte. Ltd.,0
Lentor Hills Road (Parcel B),Forsea Residence Pte. Ltd. | Soilbuild Group Holdings Ltd. | UED Alpha Pte. Ltd.,2,3,232343650.0,10226.39,tenderer_1,Forsea Residence Pte. Ltd.,0
Slim Barracks Rise (Parcel B),Gao Xiuhua,1,1,162388000.0,13025.43,tenderer_1,Gao Xiuhua,0
